drag,sent_time_ns,recv_time_ns,latency,currentThrust,currentTimestep,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
0,351170800051300,351170845974800,45923500,123191000.0,0,30628.52738619129,6446032.690811836,1074338.7818019725,7951371.472613809,45188045.85365853,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,63.31871171298348
21162.87234873467,351170941598100,351170957455800,15857700,123191000.0,1,30628.52738619129,6419779.667337958,1069963.2778896594,7920742.945227617,45467348.834968336,5.740288398370912,5.740288398370912,11.423338927364009,11.423338927364009,17.106389456357107,63.09198818503923
85412.61213504327,351171081179900,351171112952800,31772900,123191000.0,2,30628.52738619129,6393526.643864079,1065587.7739773463,7890114.417841426,45703564.948840566,5.792509782303528,5.792509782303528,17.215848709667537,17.215848709667537,34.32223816602465,62.90024031882154
193675.91162581768,351171223649400,351171239536700,15887300,123191000.0,3,30628.52738619129,6367273.620390201,1061212.270065033,7859485.890455235,45895767.50300832,5.839538125355673,5.839538125355673,23.05538683502321,23.05538683502321,57.37762500104786,62.744220354564604
346579.3852323482,351171379192700,351171397629400,18436700,123191000.0,4,30628.52738619129,6341020.596916323,1056836.76615272,7828857.3630690435,46043329.88306033,5.881232438881805,5.881232438881805,28.936619273905016,28.936619273905016,86.31424427495287,62.62443694502006
544436.0057446223,351171519726800,351171535680100,15953300,123191000.0,5,30628.52738619129,6314767.573442444,1052461.2622404068,7798228.835682852,46145939.1162066,5.917489738830655,5.917489738830655,34.85410901273567,34.85410901273567,121.16835328768855,62.54114414510265
787235.7079968007,351171660719600,351171706559800,45840200,123191000.0,6,30628.52738619129,6288514.549968566,1048085.7583280938,7767600.308296661,46203605.26761295,5.948247004710368,5.948247004710368,40.80235601744604,40.80235601744604,161.9707093051346,62.49433378443803
1074640.4397494195,351171833242100,351171864006400,30764300,123191000.0,7,30628.52738619129,6262261.526494687,1043710.2544157808,7736971.78091047,46216666.38951887,5.973482610282986,5.973482610282986,46.77583862772902,46.77583862772902,208.74654793286362,62.483731449928264
1405983.834658426,351171989724300,351172020780000,31055700,123191000.0,8,30628.52738619129,6236008.503020809,1039334.7505034677,7706343.253524278,46185788.84826839,5.993217188599356,5.993217188599356,52.769055816328375,52.769055816328375,261.515603749192,62.508796220285255
1780275.5691828388,351172177054700,351172206898700,29844000,123191000.0,9,30628.52738619129,6209755.479546931,1034959.2465911547,7675714.726138087,46111962.967402525,6.007513907516339,6.007513907516339,58.776569723844716,58.776569723844716,320.2921734730367,62.56872420274004
