,currentThrust,sent_time_ns,recv_time_ns,latency,currentTimestep,currentTime,totalTimestepsRun,versions,drag,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
1.1,123191000.0,130801977531200,130801983296900,5765700,1,1,1,1,21162.87234873467,30628.52738619129,6446032.690811836,1074338.7818019725,7951371.472613809,45188045.85365853,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,63.31871171298348
1.2,123191000.0,130802171979800,130802187642700,15662900,2,2,2,1,85412.61213504327,30628.52738619129,6393526.643864079,1065587.7739773463,7890114.417841426,45467348.834968336,5.740288398370912,5.740288398370912,11.423338927364009,11.423338927364009,17.106389456357107,63.09198818503923
1.3,123191000.0,130802312390800,130802328194400,15803600,3,3,3,1,193675.91162581768,30628.52738619129,6367273.620390201,1061212.270065033,7859485.890455235,45703564.948840566,5.792509782303528,5.792509782303528,17.215848709667537,17.215848709667537,34.32223816602465,62.90024031882154
1.4,123191000.0,130802451933200,130802509275400,57342200,4,4,4,1,346579.3852323482,30628.52738619129,6341020.596916323,1056836.76615272,7828857.3630690435,45895767.50300832,5.839538125355673,5.839538125355673,23.05538683502321,23.05538683502321,57.37762500104786,62.744220354564604
1.5,123191000.0,130802656081200,130802701848000,45766800,5,5,5,1,544436.0057446223,30628.52738619129,6314767.573442444,1052461.2622404068,7798228.835682852,46145939.1162066,5.917489738830655,5.917489738830655,34.85410901273567,34.85410901273567,121.16835328768855,62.54114414510265
1.6,123191000.0,130802796649200,130802827411900,30762700,6,6,6,1,787235.7079968007,30628.52738619129,6288514.549968566,1048085.7583280938,7767600.308296661,46203605.26761295,5.948247004710368,5.948247004710368,40.80235601744604,40.80235601744604,161.9707093051346,62.49433378443803
2.1,123191000.0,130802920486900,130802935195800,14708900,1,1,7,2,1074640.4397494195,30628.52738619129,6446032.690811836,1074338.7818019723,7951371.472613809,46216666.38951887,5.973482610282986,5.973482610282986,46.77583862772902,46.77583862772902,208.74654793286362,62.483731449928264
2.2,123191000.0,130802999145700,130803014921000,15775300,2,2,8,2,21162.87234873467,30628.52738619129,6419779.667337958,1069963.2778896592,7920742.945227617,45166882.981309794,5.680388991619121,5.680388991619121,11.363439520612218,11.363439520612218,17.046490049605314,63.3358906240636
2.3,123191000.0,130803093848300,130803108471400,14623100,3,3,9,2,84519.70713486601,30628.52738619129,6393526.643864079,1065587.773977346,7890114.417841426,45403992.000182204,5.732289548360976,5.732289548360976,17.095729068973192,17.095729068973192,34.14221911857851,63.14341794434479
2.4,123191000.0,130803172764400,130803265057900,92293500,4,4,10,2,190985.97993022526,30628.52738619129,6367273.620390201,1061212.2700650329,7859485.890455235,45597991.58104539,5.779129321361612,5.779129321361612,22.874858390334804,22.874858390334804,57.01707750891332,62.98593924796017
