,,,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,currentTimestep,sent_time_ns,recv_time_ns,latency
'1.0',1,0,45188045.85,5.683050529,5.683050529,5.683050529,5.683050529,5.683050529,63.31871171,,,,
'1.1',1,1,45467348.83,5.740288398,5.740288398,11.42333893,11.42333893,17.10638946,63.09198819,,,,
'1.2',1,2,45703564.95,5.792509782,5.792509782,17.21584871,17.21584871,34.32223817,62.90024032,,,,
'1.3',1,3,45895767.5,5.839538125,5.839538125,23.05538684,23.05538684,57.377625,62.74422035,,,,
'1.4',1,4,46043329.88,5.881232439,5.881232439,28.93661927,28.93661927,86.31424427,62.62443695,,,,
'1.5',1,5,46145939.12,5.917489739,5.917489739,34.85410901,34.85410901,121.1683533,62.54114415,,,,
'1.6',1,6,46203605.27,5.948247005,5.948247005,40.80235602,40.80235602,161.9707093,62.49433378,,,,
'1.7',1,7,46216666.39,5.97348261,5.97348261,46.77583863,46.77583863,208.7465479,62.48373145,,,,
'2.1',2,1,45188045.85,5.683050529,5.683050529,5.683050529,5.683050529,5.683050529,63.31871171,1,1.30803E+14,1.30803E+14,14613900
'2.2',2,2,45166882.98,5.680388992,5.680388992,11.36343952,11.36343952,17.04649005,63.33589062,1,,,
'2.3',2,3,45403992,5.732289548,5.732289548,17.09572907,17.09572907,34.14221912,63.14341794,1,,,
'2.4',2,4,45597991.58,5.779129321,5.779129321,22.87485839,22.87485839,57.01707751,62.98593925,1,,,
'2.5',2,5,46048724.4,5.881921495,5.881921495,28.75677989,28.75677989,85.77385739,62.62005796,1,,,
'2.6',2,6,46152657.45,5.91835126,5.91835126,34.67513114,34.67513114,120.4489885,62.53569055,1,,,
'2.7',2,7,46211615.63,5.949278258,5.949278258,40.6244094,40.6244094,161.0733979,62.48783139,1,,,
'2.8',2,8,46225927.39,5.97467959,5.97467959,46.59908899,46.59908899,207.6724869,62.47621386,1,,,
'2.9',2,9,46196249.87,5.994574644,5.994574644,52.59366364,52.59366364,260.2661506,62.50030451,1,,,
'2.10',2,10,46123564.67,6.009025389,6.009025389,58.60268903,58.60268903,318.8688396,62.55930655,1,,,
'2.11',2,11,46009169,6.018136069,6.018136069,64.6208251,64.6208251,383.4896647,62.65216696,1,,,
'2.12',2,12,45854662.33,6.0220523,6.0220523,70.64287739,70.64287739,454.1325421,62.77758738,1,,,
'2.13',2,13,45661928.88,6.020959599,6.020959599,76.66383699,76.66383699,530.7963791,62.9340383,1,,,
'2.14',2,14,45433116.29,6.015081367,6.015081367,82.67891836,82.67891836,613.4752974,63.11977637,1,,,
'2.15',2,15,45170610.95,6.004676382,6.004676382,88.68359474,88.68359474,702.1588922,63.33286445,1,,,
'2.16',2,16,44877010.57,5.990035857,5.990035857,94.6736306,94.6736306,796.8325228,63.57119386,1,,,
'2.17',2,17,44555094.52,5.971480136,5.971480136,100.6451107,100.6451107,897.4776335,63.83250845,1,,,
'2.18',2,18,44207792.61,5.949355092,5.949355092,106.5944658,106.5944658,1004.072099,64.11442994,1,,,
'2.19',2,19,43838153.05,5.924028321,5.924028321,112.5184941,112.5184941,1116.590593,64.41448397,1,,,
'2.20',2,20,43449310.03,5.895885198,5.895885198,118.4143793,118.4143793,1235.004973,64.73012637,1,,,
'2.21',2,21,43044451.71,5.865324888,5.865324888,124.2797042,124.2797042,1359.284677,65.05876914,1,,,
'2.22',2,22,42626789.17,5.832756379,5.832756379,130.1124606,130.1124606,1489.397138,65.39780571,1,,,
'2.23',2,23,42199526.7,5.798594615,5.798594615,135.9110552,135.9110552,1625.308193,65.744635,1,,,
'2.24',2,24,41765834.05,5.76325679,5.76325679,141.674312,141.674312,1766.982505,66.09668397,1,,,
