drag,sent_time_ns,recv_time_ns,latency,currentTimestep,currentTime,totalTimestepsRun,versions,currentThrust,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
0.0,142325143201800,142325196800400,53598600,0,0,0,1,123191000.0,30628.52738619129,6446032.690811836,1074338.7818019725,7951371.472613809,45188045.85365853,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,63.31871171298348
85412.61213504327,142325311899100,142325314982600,3083500,1,1,1,1,123191000.0,30628.52738619129,6419779.667337958,1069963.2778896594,7920742.945227617,45467348.834968336,5.740288398370912,5.740288398370912,11.423338927364009,11.423338927364009,17.106389456357107,63.09198818503923
193675.91162581768,142325416080300,142325443556500,27476200,2,2,2,1,123191000.0,30628.52738619129,6393526.643864079,1065587.7739773463,7890114.417841426,45703564.948840566,5.792509782303528,5.792509782303528,17.215848709667537,17.215848709667537,34.32223816602465,62.90024031882154
346579.3852323482,142325556635600,142325583637700,27002100,4,4,4,1,123191000.0,30628.52738619129,6367273.620390201,1061212.270065033,7859485.890455235,45895767.50300832,5.839538125355673,5.839538125355673,23.05538683502321,23.05538683502321,57.37762500104786,62.744220354564604
544436.0057446223,142325707728000,142325723473700,15745700,5,5,5,1,123191000.0,30628.52738619129,6314767.573442444,1052461.2622404068,7798228.835682852,46043329.88306033,5.881232438881805,5.881232438881805,28.936619273905016,28.936619273905016,86.31424427495287,62.62443694502006
787235.7079968007,142325819758800,142325851347900,31589100,6,6,6,1,123191000.0,30628.52738619129,6288514.549968566,1048085.7583280938,7767600.308296661,46145939.1162066,5.917489738830655,5.917489738830655,34.85410901273567,34.85410901273567,121.16835328768855,62.54114414510265
1074640.4397494195,142325931610900,142325963127500,31516600,7,7,7,1,123191000.0,30628.52738619129,6262261.526494687,1043710.2544157808,7736971.78091047,46203605.26761295,5.948247004710368,5.948247004710368,40.80235601744604,40.80235601744604,161.9707093051346,62.49433378443803
1405983.834658426,142326087319700,142326119649800,32330100,8,8,8,1,123191000.0,30628.52738619129,6236008.503020809,1039334.7505034677,7706343.253524278,46185788.84826839,5.993217188599356,5.993217188599356,52.769055816328375,52.769055816328375,261.515603749192,62.508796220285255
1780275.5691828388,142326208436800,142326240051000,31614200,9,9,9,1,123191000.0,30628.52738619129,6209755.479546931,1034959.2465911547,7675714.726138087,46111962.967402525,6.007513907516339,6.007513907516339,58.776569723844716,58.776569723844716,320.2921734730367,62.56872420274004
2196210.348340471,142326316386900,142326348006500,31619600,10,10,10,1,123191000.0,30628.52738619129,6183502.456073052,1030583.7426788417,7645086.198751896,45996494.04190343,6.016478146369706,6.016478146369706,64.79304787021442,64.79304787021442,385.08522134325113,62.66245582720861
2652181.3488092422,142326427373800,142326459013500,31639700,11,11,11,1,123191000.0,30628.52738619129,6157249.432599174,1026208.2387665287,7614457.671365704,45840988.89509319,6.020256579464483,6.020256579464483,70.81330444967891,70.81330444967891,455.89852579293006,62.788686758697324
3146297.8364813365,142326560369700,142326608255400,47885700,12,12,12,1,123191000.0,30628.52738619129,6130996.4091252955,1021832.7348542156,7583829.143979513,45647338.26107964,6.019035686915121,6.019035686915121,76.83234013659403,76.83234013659403,532.730865929524,62.94588219831024
3676406.573490233,142326672670400,142326716250400,43580000,13,13,13,1,123191000.0,30628.52738619129,6104743.385651417,1017457.2309419026,7553200.616593322,45417695.37772928,6.013039727549799,6.013039727549799,82.84537986414382,82.84537986414382,615.5762457936679,63.132294260352396
4240116.540785224,142326780314000,142326839990800,59676800,14,14,14,1,123191000.0,30628.52738619129,6078490.362177539,1013081.7270295896,7522572.0892071305,45154451.26409282,6.0025282215476965,6.0025282215476965,88.84790808569151,88.84790808569151,704.4241538793594,63.3459820408205
4834826.429714125,142326884382600,142326912028300,27645700,15,15,15,1,123191000.0,30628.52738619129,6052237.33870366,1008706.2231172766,7491943.561820939,44860207.228822455,5.98779300172932,5.98779300172932,94.83570108742083,94.83570108742083,799.2598549667803,63.584833933629525
5457754.302172077,142326992328600,142327024641800,32313200,16,16,16,1,123191000.0,30628.52738619129,6025984.315229782,1004330.7192049635,7461315.034434748,44537745.210023046,5.969154901579239,5.969154901579239,100.80485598900007,100.80485598900007,900.0647109557804,63.8465917071677
6776421.152425291,142327137220400,142327151720600,14500200,18,18,18,1,123191000.0,30628.52738619129,5999731.2917559035,999955.2152926505,7430686.507048557,44189996.58070805,5.9469601548646365,5.9469601548646365,106.75181614386472,106.75181614386472,1006.8165270996451,64.12887582639311
7465977.653429087,142327256082400,142327296969900,40887500,19,19,19,1,123191000.0,30628.52738619129,5947225.244808147,991204.2074680245,7369429.452276174,43820010.067086905,5.921576585956187,5.921576585956187,112.6733927298209,112.6733927298209,1119.489919829466,64.42921149508737
8171451.47514789,142327387952800,142327403738300,15785500,20,20,20,1,123191000.0,30628.52738619129,5920972.221334268,986828.7035557114,7338800.924889983,43430919.419741645,5.893389671615251,5.893389671615251,118.56678240143616,118.56678240143616,1238.0567022309021,64.74505489870067
8889633.76611934,142327479833100,142327495481800,15648700,21,21,21,1,123191000.0,30628.52738619129,5894719.19786039,982453.1996433984,7308172.397503791,43025911.451681376,5.862798554155683,5.862798554155683,124.42958095559185,124.42958095559185,1362.486283186494,65.07381914938479
9617323.208385415,142327551878300,142327615274800,63396500,22,22,22,1,123191000.0,30628.52738619129,5868466.174386512,978077.6957310854,7277543.8701176,42608195.01436847,5.830212082698253,5.830212082698253,130.2597930382901,130.2597930382901,1492.746076224784,65.41289946962969
10351353.691514004,142327664011600,142327737975300,73963700,23,23,23,1,123191000.0,30628.52738619129,5842213.150912633,973702.1918187723,7246915.342731409,42180971.42576092,5.7960449539796866,5.7960449539796866,136.05583799226977,136.05583799226977,1628.8019142170538,65.75969719722957
11088619.718663493,142327782935200,142327798617700,15682500,24,24,24,1,123191000.0,30628.52738619129,5815960.127438755,969326.6879064593,7216286.8153452175,41747406.796290874,5.760714017193971,5.760714017193971,141.81655200946375,141.81655200946375,1770.6184662265175,66.11164224960356
11826099.255010616,142327923960200,142327939638300,15678100,25,25,25,1,123191000.0,30628.52738619129,5789707.103964876,964951.1839941463,7185658.287959026,41310606.622799926,5.724634799015217,5.724634799015217,147.54118680847895,147.54118680847895,1918.1596530349964,66.4662137471082
12560873.810445054,142328067793300,142328111368400,43575100,26,26,26,1,123191000.0,30628.52738619129,5763454.080490998,960575.6800818333,7155029.760572835,40873592.940111324,5.688218295685312,5.688218295685312,153.22940510416427,153.22940510416427,2071.3890581391606,66.82095856019407
13290145.628340848,142328251765100,142328279187000,27421900,27,27,27,1,123191000.0,30628.52738619129,5737201.05701712,956200.1761695202,7124401.233186644,40439284.23833543,5.651868069252845,5.651868069252845,158.88127317341713,158.88127317341713,2230.2703313125776,67.17350761148506
14011251.927912684,142328400028400,142328463059700,63031300,28,28,28,1,123191000.0,30628.52738619129,5710948.033543241,951824.6722572072,7093772.705800452,40010478.27409818,5.6159776751094155,5.6159776751094155,164.49725084852653,164.49725084852653,2394.767582161104,67.52158982872272
14721676.217083063,142328547617300,142328574960000,27342700,29,29,29,1,123191000.0,30628.52738619129,5684695.010069363,947449.1683448942,7063144.178414261,39589837.82818487,5.5809284382361115,5.5809284382361115,170.07817928676263,170.07817928676263,2564.8457614478666,67.86304370596483
15419056.754360065,142328683388300,142328699218400,15830100,30,30,30,1,123191000.0,30628.52738619129,5658441.986595484,943073.6644325812,7032515.65102807,39179879.39267303,5.547087586348728,5.547087586348728,175.62526687311137,175.62526687311137,2740.471028320978,68.19582648677823
16101192.290891014,142328839356600,142328886761500,47404900,31,31,31,1,123191000.0,30628.52738619129,5632188.963121606,938698.1605202681,7001887.123641878,38782964.709054574,5.514806739660077,5.514806739660077,181.14007361277146,181.14007361277146,2921.6111019337495,68.51802103314806
16766045.267046994,142328995121400,142329042552300,47430900,32,32,32,1,123191000.0,30628.52738619129,5605935.939647728,934322.6566079551,6971258.596255687,38401295.02618215,5.484420749446266,5.484420749446266,186.62449436221772,186.62449436221772,3108.2355962959673,68.82784048657601
17411742.67147129,142329150935700,142329166057800,15122100,33,33,33,1,123191000.0,30628.52738619129,5579682.916173849,929947.1526956421,6940630.068869496,38036907.90368471,5.456246871133802,5.456246871133802,192.08074123335152,192.08074123335152,3300.316337529319,69.12363086290013
18036574.794745408,142329286889200,142329302578900,15689700,34,34,34,1,123191000.0,30628.52738619129,5553429.892699971,925571.6487833291,6910001.541483304,37691676.35291896,5.430584252282194,5.430584252282194,197.5113254856337,197.5113254856337,3497.8276630149526,69.40387174962542
18638992.125252523,142329475301700,142329502157800,26856100,35,35,35,1,123191000.0,30628.52738619129,5527176.8692260925,921196.144871016,6879373.014097113,37367310.08330337,5.407713711635741,5.407713711635741,202.91903919726946,202.91903919726946,3700.746702212222,69.66717529421518
19217600.642246768,142329627525000,142329643229100,15704100,36,36,36,1,123191000.0,30628.52738619129,5500923.845752214,916820.640958703,6848744.486710922,37065358.6064548,5.3878977823271095,5.3878977823271095,208.30693697959657,208.30693697959657,3909.0536391918185,69.91228368431558
19771155.761537887,142329811371800,142329812782600,1410800,37,37,37,1,123191000.0,30628.52738619129,5474670.822278336,912445.13704639,6818115.959324731,36534126.6774865,5.358390337659329,5.358390337659329,219.0367083075235,219.0367083075235,4341.768665469206,70.34350993377234
20298555.18363142,142329968540800,142329980509000,11968200,38,38,38,1,123191000.0,30628.52738619129,5448417.798804457,908069.633134077,6787487.431938539,36307193.1090515,5.349135961299599,5.349135961299599,224.3858442688231,224.3858442688231,4566.154509738029,70.52772271590335
20798830.883725177,142330125505200,142330141432900,15927700,39,39,39,1,123191000.0,30628.52738619129,5422164.775330579,903694.1292217639,6756858.904552348,36107383.26261629,5.343811935793036,5.343811935793036,229.72965620461613,229.72965620461613,4795.884165942645,70.68991788148786
21271140.468735974,142330281383800,142330313199800,31816000,40,40,40,1,123191000.0,30628.52738619129,5395911.7518567005,899318.6253094509,6726230.377166157,35935539.53126402,5.342597192813384,5.342597192813384,235.0722533974295,235.0722533974295,5030.956419340075,70.82941161995274
21714758.10954448,142330437258000,142330468485400,31227400,41,41,41,1,123191000.0,30628.52738619129,5369658.728382822,894943.1213971379,6695601.849779965,35792387.744114056,5.345656529037832,5.345656529037832,240.41790992646733,240.41790992646733,5271.374329266542,70.94561474124404
