,currentTimestep,currentTime,totalTimestepsRun,versions,sent_time_ns,recv_time_ns,latency,currentThrust,drag,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,pressure,temperature,density
0,0,0,0,1,220157242177700,220157258061600,15883900,123191000.0,0.0,30628.52738619129,6446032.690811836,1074338.7818019725,7951371.472613809,45188045.85365853,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,63.31871171298348,101.33272818959871,15.003117002066833,1.2259456871825118
1,1,1,1,1,220157352685300,220157384589500,31904200,123191000.0,21162.87234873467,30628.52738619129,6419779.667337958,1069963.2778896594,7920742.945227617,45467348.834968336,5.740288398370912,5.740288398370912,11.423338927364009,11.423338927364009,17.106389456357107,63.09198818503923,101.19574821640438,14.928979532428242,1.224603600062002
2,3,3,3,1,220157480282900,220157495306200,15023300,123191000.0,193675.91162581768,30628.52738619129,6393526.643864079,1065587.7739773463,7890114.417841426,45703564.948840566,5.792509782303528,5.792509782303528,17.215848709667537,17.215848709667537,34.32223816602465,62.90024031882154,100.98959217286752,14.8172486743025,1.2225830955493446
3,4,4,4,1,220157586439000,220157678642400,92203400,123191000.0,346579.3852323482,30628.52738619129,6367273.620390201,1061212.270065033,7859485.890455235,45895767.50300832,5.839538125355673,5.839538125355673,23.05538683502321,23.05538683502321,57.37762500104786,62.744220354564604,100.71404172899605,14.6676192137432,1.219881240915416
4,5,5,5,1,220157710131500,220157726499700,16368200,123191000.0,544436.0057446223,30628.52738619129,6341020.596916323,1056836.76615272,7828857.3630690435,46043329.88306033,5.881232438881805,5.881232438881805,28.936619273905016,28.936619273905016,86.31424427495287,62.62443694502006,100.36906259370116,14.479820554655555,1.2164966334787974
5,6,6,6,1,220157850321200,220157882052900,31731700,123191000.0,787235.7079968007,30628.52738619129,6288514.549968566,1048085.7583280938,7767600.308296661,46145939.1162066,5.917489738830655,5.917489738830655,34.85410901273567,34.85410901273567,121.16835328768855,62.54114414510265,99.95480681589036,14.253617387162901,1.2124294230372696
6,7,7,7,1,220157991859100,220158023376600,31517500,123191000.0,1074640.4397494195,30628.52738619129,6262261.526494687,1043710.2544157808,7736971.78091047,46203605.26761295,5.948247004710368,5.948247004710368,40.80235601744604,40.80235601744604,161.9707093051346,62.49433378443803,99.4716137861013,13.988810096609676,1.20768132407639
7,8,8,8,1,220158134391200,220158149559200,15168000,123191000.0,1405983.834658426,30628.52738619129,6236008.503020809,1039334.7505034677,7706343.253524278,46216666.38951887,5.973482610282986,5.973482610282986,46.77583862772902,46.77583862772902,208.74654793286362,62.483731449928264,98.92000991404971,13.685234903915713,1.202255617525055
8,9,9,9,1,220158227082000,220158303759800,76677800,123191000.0,1780275.5691828388,30628.52738619129,6209755.479546931,1034959.2465911547,7675714.726138087,46185788.84826839,5.993217188599356,5.993217188599356,52.769055816328375,52.769055816328375,261.515603749192,62.508796220285255,98.30070697743041,13.342763731667743,1.1961571419828403
9,10,10,10,1,220158366565900,220158397109600,30543700,123191000.0,2196210.348340471,30628.52738619129,6183502.456073052,1030583.7426788417,7645086.198751896,46111962.967402525,6.007513907516339,6.007513907516339,58.776569723844716,58.776569723844716,320.2921734730367,62.56872420274004,97.61459915758856,12.96130379415999,1.1893922745021197
10,11,11,11,1,220158521998500,220158584567300,62568800,123191000.0,2652181.3488092422,30628.52738619129,6157249.432599174,1026208.2387665287,7614457.671365704,45996494.04190343,6.016478146369706,6.016478146369706,64.79304787021442,64.79304787021442,385.08522134325113,62.66245582720861,96.86275879774382,12.5407969134823,1.181968901165448
11,12,12,12,1,220158648565200,220158664288100,15722900,123191000.0,3146297.8364813365,30628.52738619129,6130996.4091252955,1021832.7348542156,7583829.143979513,45840988.89509319,6.020256579464483,6.020256579464483,70.81330444967891,70.81330444967891,455.89852579293006,62.788686758697324,96.04643093877934,12.081218567603884,1.1738963778514415
12,13,13,13,1,220158789152500,220158805223400,16070900,123191000.0,3676406.573490233,30628.52738619129,6104743.385651417,1017457.2309419026,7553200.616593322,45647338.26107964,6.019035686915121,6.019035686915121,76.83234013659403,76.83234013659403,532.730865929524,62.94588219831024,95.16702670567993,11.582576680117388,1.1651854817262763
13,14,14,14,1,220158943987800,220159038528800,94541000,123191000.0,4240116.540785224,30628.52738619129,6078490.362177539,1013081.7270295896,7522572.0892071305,45417695.37772928,6.013039727549799,6.013039727549799,82.84537986414382,82.84537986414382,615.5762457936679,63.132294260352396,94.22611563407642,11.044910164799095,1.155848354129516
14,15,15,15,1,220159116703300,220159132158100,15454800,123191000.0,4834826.429714125,30628.52738619129,6052237.33870366,1008706.2231172766,7491943.561820939,45154451.26409282,6.0025282215476965,6.0025282215476965,88.84790808569151,88.84790808569151,704.4241538793594,63.3459820408205,93.22541704061454,10.468287241322956,1.1458984356389637
15,16,16,16,1,220159256946100,220159333474800,76528700,123191000.0,5457754.302172077,30628.52738619129,6025984.315229782,1004330.7192049635,7461315.034434748,44860207.228822455,5.98779300172932,5.98779300172932,94.83570108742083,94.83570108742083,799.2598549667803,63.584833933629525,92.16679055269246,9.852803541265594,1.1353503941969527
16,17,17,17,1,220159398292900,220159412469700,14176800,123191000.0,6105968.785145606,30628.52738619129,5999731.2917559035,999955.2152926505,7430686.507048557,44537745.210023046,5.969154901579239,5.969154901579239,100.80485598900007,100.80485598900007,900.0647109557804,63.8465917071677,91.05222592227233,9.198580025896984,1.1242200472580561
